"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1170","test_faq_questions[heading_locator4-panel_locator4-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u043d\u0435\u0442! \u041d\u043e \u0435\u0441\u043b\u0438 \u0447\u0442\u043e-\u0442\u043e \u0441\u0440\u043e\u0447\u043d\u043e\u0435 \u2014 \u0432\u0441\u0435\u0433\u0434\u0430 \u043c\u043e\u0436\u043d\u043e \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u044c \u0432 \u043f\u043e\u0434\u0434\u0435\u0440\u0436\u043a\u0443 \u043f\u043e \u043a\u0440\u0430\u0441\u0438\u0432\u043e\u043c\u0443 \u043d\u043e\u043c\u0435\u0440\u0443 1010.]","Sprint_6.tests","Thu Aug 14 15:25:19 SAMT 2025","passed","Thu Aug 14 15:25:20 SAMT 2025","","test_faq","",""
"","2129","test_order_form_2[data1]","Sprint_6.tests","Thu Aug 14 15:25:53 SAMT 2025","passed","Thu Aug 14 15:25:55 SAMT 2025","","test_order_page","",""
"","111","test_you_cannot_create_two_identical_couriers","Sprint_7.creating_a_new_courier","Thu Aug 14 15:28:27 SAMT 2025","passed","Thu Aug 14 15:28:27 SAMT 2025","","test_you_cannot_create_two_identical_couriers","",""
"","1298","test_faq_questions[heading_locator7-panel_locator7-\u0414\u0430, \u043e\u0431\u044f\u0437\u0430\u0442\u0435\u043b\u044c\u043d\u043e. \u0412\u0441\u0435\u043c \u0441\u0430\u043c\u043e\u043a\u0430\u0442\u043e\u0432! \u0418 \u041c\u043e\u0441\u043a\u0432\u0435, \u0438 \u041c\u043e\u0441\u043a\u043e\u0432\u0441\u043a\u043e\u0439 \u043e\u0431\u043b\u0430\u0441\u0442\u0438.]","Sprint_6.tests","Thu Aug 14 15:25:32 SAMT 2025","passed","Thu Aug 14 15:25:34 SAMT 2025","","test_faq","",""
"Тест попытки создания объявления неавторизованным пользователем","849","test_create_ad_unauthorized_user","Sprint_5.tests","Thu Aug 14 15:24:15 SAMT 2025","passed","Thu Aug 14 15:24:16 SAMT 2025","TestAdCreation","test_creating_a_new_ad","",""
"","2056","test_order_form_2[data0]","Sprint_6.tests","Thu Aug 14 15:25:48 SAMT 2025","passed","Thu Aug 14 15:25:50 SAMT 2025","","test_order_page","",""
"","248","test_the_courier_can_log_in","Sprint_7.сourier_login","Thu Aug 14 15:28:28 SAMT 2025","passed","Thu Aug 14 15:28:28 SAMT 2025","","test_the_courier_can_log_in","",""
"","114","test_all_required_fields_no_pass","Sprint_7.creating_a_new_courier","Thu Aug 14 15:28:27 SAMT 2025","passed","Thu Aug 14 15:28:27 SAMT 2025","","test_all_required_fields","",""
"Тест регистрации уже существующего пользователя","1790","test_existing_user_registration","Sprint_5.tests","Thu Aug 14 15:24:55 SAMT 2025","passed","Thu Aug 14 15:24:57 SAMT 2025","TestRegistration","test_registration","",""
"","2165","test_order_form[data1]","Sprint_6.tests","Thu Aug 14 15:25:42 SAMT 2025","passed","Thu Aug 14 15:25:45 SAMT 2025","","test_order_page","",""
"","2369","test_order_form[data0]","Sprint_6.tests","Thu Aug 14 15:25:37 SAMT 2025","passed","Thu Aug 14 15:25:39 SAMT 2025","","test_order_page","",""
"Тест успешного выхода из системы","3227","test_successful_logout","Sprint_5.tests","Thu Aug 14 15:24:24 SAMT 2025","broken","Thu Aug 14 15:24:28 SAMT 2025","TestAuth","test_login","",""
"","1361","test_faq_questions[heading_locator6-panel_locator6-\u0414\u0430, \u043f\u043e\u043a\u0430 \u0441\u0430\u043c\u043e\u043a\u0430\u0442 \u043d\u0435 \u043f\u0440\u0438\u0432\u0435\u0437\u043b\u0438. \u0428\u0442\u0440\u0430\u0444\u0430 \u043d\u0435 \u0431\u0443\u0434\u0435\u0442, \u043e\u0431\u044a\u044f\u0441\u043d\u0438\u0442\u0435\u043b\u044c\u043d\u043e\u0439 \u0437\u0430\u043f\u0438\u0441\u043a\u0438 \u0442\u043e\u0436\u0435 \u043d\u0435 \u043f\u043e\u043f\u0440\u043e\u0441\u0438\u043c. \u0412\u0441\u0435 \u0436\u0435 \u0441\u0432\u043e\u0438.]","Sprint_6.tests","Thu Aug 14 15:25:28 SAMT 2025","passed","Thu Aug 14 15:25:29 SAMT 2025","","test_faq","",""
"","1425","test_faq_questions[heading_locator1-panel_locator1-\u041f\u043e\u043a\u0430 \u0447\u0442\u043e \u0443 \u043d\u0430\u0441 \u0442\u0430\u043a: \u043e\u0434\u0438\u043d \u0437\u0430\u043a\u0430\u0437 \u2014 \u043e\u0434\u0438\u043d \u0441\u0430\u043c\u043e\u043a\u0430\u0442. \u0415\u0441\u043b\u0438 \u0445\u043e\u0442\u0438\u0442\u0435 \u043f\u043e\u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0441 \u0434\u0440\u0443\u0437\u044c\u044f\u043c\u0438, \u043c\u043e\u0436\u0435\u0442\u0435 \u043f\u0440\u043e\u0441\u0442\u043e \u0441\u0434\u0435\u043b\u0430\u0442\u044c \u043d\u0435\u0441\u043a\u043e\u043b\u044c\u043a\u043e \u0437\u0430\u043a\u0430\u0437\u043e\u0432 \u2014 \u043e\u0434\u0438\u043d \u0437\u0430 \u0434\u0440\u0443\u0433\u0438\u043c.]","Sprint_6.tests","Thu Aug 14 15:25:05 SAMT 2025","passed","Thu Aug 14 15:25:06 SAMT 2025","","test_faq","",""
"Тест проверки объявления в профиле","1799","test_check_ad_in_my_ads","Sprint_5.tests","Thu Aug 14 15:24:10 SAMT 2025","passed","Thu Aug 14 15:24:12 SAMT 2025","TestAdCreation","test_creating_a_new_ad","",""
"Тест успешной авторизации","1556","test_successful_login","Sprint_5.tests","Thu Aug 14 15:24:20 SAMT 2025","passed","Thu Aug 14 15:24:21 SAMT 2025","TestAuth","test_login","",""
"","94","test_all_required_fields_no_login","Sprint_7.creating_a_new_courier","Thu Aug 14 15:28:27 SAMT 2025","passed","Thu Aug 14 15:28:27 SAMT 2025","","test_all_required_fields","",""
